Point,X (m),Y (m),Z (m)
0,1354.574965856193,-1672.1920741038152,196.07654707015388
1,2946.7667003049337,-2112.866240562518,68.55134305695508
2,2884.7950447653593,-2225.50856801428,191.51749250058953
3,1161.0474076523096,-2162.3664018412364,41.56698940511589
4,1941.4923846409447,-2976.3641893702056,28.661500476127173
5,2787.228283831256,-1473.188174131727,112.89830117381885
6,1677.6524762801446,-1836.2802407349652,15.841976965524562
7,2847.8841104629764,-2017.19732423616,109.77941096332967
8,2711.697820386774,-2647.6571601513037,191.6187790813435
9,2767.6795644927383,-1688.9019973985887,23.660525856722927
10,2374.1772950391214,-1243.9803571455734,-6.8975074210621
11,1337.334412779735,-2015.5847821110651,189.41123558854775
12,1860.561104585015,-2903.590455821768,204.4336679799522
13,1146.9263652782727,-2489.2227842240354,249.53401296635883
14,1291.2977628447836,-2521.834529239462,14.44985745872172
15,1372.289585774361,-2049.3361884454816,40.315048035217835
16,1719.7969592193717,-1652.7258881532462,158.2481247493607
17,2208.854477613075,-2888.7342299177058,191.4114666442827
18,1182.5432856507962,-2859.9283189049147,62.76085282680732
19,1487.07882213298,-1182.4422147744965,184.1502661001069
20,2311.689601305632,-1547.849118901294,94.19736173941948
21,2049.4146350601195,-2928.5764200832396,29.232750799228917
22,2969.0388389151976,-1256.1906504747103,119.9503479374529
23,2751.7429536505474,-1629.2270703329186,37.30002049068693
24,1383.2106496525523,-1069.7560959674402,207.24309784713057
25,1851.8681502309405,-2707.6922703507953,219.90536603396515
26,2573.7938593427434,-1313.161256157336,53.2252078340165
27,2553.413010131484,-1446.1488966383051,22.22164445346752
28,1981.9269657638088,-1156.419797288793,132.00428140802654
29,2397.0250679752726,-1331.5426502775151,247.95412857845167
30,1704.1434718575997,-2047.860987823407,130.2137058137565
31,2009.1325173023388,-1301.277048149946,231.163930285591
32,2709.417701730875,-1968.1041013944887,47.69711005316884
33,2120.5363104675926,-2440.8317661923675,172.46593695903147
34,2386.8996945727004,-1022.7585590275792,253.07999802168456
35,1627.464888601185,-2486.953559249525,25.179362970713548
36,2985.1136230617753,-2508.9077203083493,244.2271019230194
37,2113.617980317225,-1057.2241929169943,168.47898586406845
38,1847.6186139732017,-2874.947313563728,176.38042297249714
39,1575.7174124845683,-2115.8673875812074,202.25348494213327
40,2470.003232863426,-1571.6125076910625,192.0038733610078
41,2353.188887641969,-1411.5053678840154,63.02154018309919
42,2448.6118725306874,-1615.5004542522893,109.29233192677727
43,1096.0390820532584,-2919.0191158063803,26.778867982069535
44,2946.8662276863706,-2082.4250246012566,80.22266217701763
45,2079.7296667365654,-1777.8811558997263,224.18223774403356
46,2378.365396155189,-1646.9172294482773,168.95228987467956
47,1704.494546297403,-1847.025806679187,60.808322996654525
48,1128.6861237218545,-2094.3781612552557,29.8170948476604
49,1258.5033527843177,-1235.134120839539,37.902023893495944
50,1525.4976721334394,-1361.333714360273,183.33218410298568
51,1568.4300423427694,-2543.1534422823456,124.25901091581687
52,1033.8391653591568,-2313.138306397144,81.86100057972513
53,2748.5298575622023,-2133.234498254015,80.5687195090177
