Point,X (m),Y (m),Z (m)
0,2769.0276456075235,-2189.773697524756,226.82061599962856
1,2871.346874992472,-2196.030756857076,84.80454222588493
2,2230.4909824954625,-2391.028544525389,185.858739407861
3,1569.2209782681684,-1394.2296329220223,205.4674989628013
4,1881.2881318336456,-2328.4877081263808,239.36699628097023
5,1517.9962309039468,-2486.081006300661,36.80639310768643
6,2009.0127998717708,-2540.658910728438,170.0263778690122
7,2989.847202877777,-2338.959383860848,82.8092486449763
8,1175.3404313378974,-2160.805438494915,115.44824984667108
9,1840.9207503615976,-1551.4257509795746,83.42204146265256
10,1513.4076976746242,-2458.513332913072,77.50641792320036
11,1493.4584478724935,-1670.3871328029877,60.06019196681956
12,2617.7082829265937,-1598.2279002701396,54.935962290671426
13,2607.4320287528617,-2690.9371460648963,84.39714271126921
14,1033.6046745732278,-2270.2139976286953,143.0411581010026
15,1590.898021523718,-1086.4614388455598,197.82951849416835
16,1578.2707330358953,-1227.7294475875585,189.6620081261942
17,1039.3385295717947,-2481.880619510992,14.609034082676196
18,2972.0909571449884,-2727.1117906069335,54.290785775155314
19,1837.6650681257415,-2389.784639479669,126.5302905862824
20,2745.2949178739464,-1842.917677712935,243.4870189717209
21,1511.323804259859,-2218.424361222723,258.3860541949144
22,2905.2782235672926,-2375.4230565978905,167.54144492240945
23,2997.8976164752485,-2590.4977822483747,222.50515712485978
24,1094.995279150104,-2558.4281732507793,115.89188998967231
25,1371.1002052514145,-2841.9239486496576,251.02351616173837
26,2752.2415419157087,-1696.433447943931,229.21167577093684
27,2360.588929456809,-2739.2411786209213,89.47498025965567
28,1732.3412671662422,-1350.381941936572,117.12317684225886
29,2203.7938019378125,-2393.738041419785,236.87835995477593
30,2495.216583390359,-2745.743845884077,56.371813063282374
31,1606.3417411919295,-2005.020382561851,128.60283562094443
32,1391.052694840118,-2636.491600113627,191.5281432602637
33,2583.4191881288925,-2635.672433634561,87.70974189675783
34,2688.446886339838,-2458.683253533979,76.26235025106192
35,1508.1796773782085,-2117.4354478877613,-2.682798686284549
36,2016.0380904104873,-1233.9410364261325,7.907218882187596
37,1723.1380892827517,-1272.2804579121294,146.95295175901614
38,2065.0298549750587,-2316.08469323446,88.88128485296002
39,1323.4764834117334,-1139.4602196332619,205.8239314913941
40,2707.9760371112657,-2789.6882421684345,175.9558722315257
41,2423.9828537483904,-2284.834149405827,86.99423695190278
42,1054.193563355132,-1865.5591564604094,22.575794506374628
43,1068.9218189531944,-1646.169079563595,61.35153892054953
44,1472.7007495738517,-2711.899845067832,50.86111272269201
45,2548.446642597926,-2674.183133540021,-8.891055484464289
46,2289.178480353653,-2952.9131680962078,243.08557737115393
47,1712.3331937020375,-2979.057745139203,21.891215186113577
48,1874.0360312354437,-1944.897543134472,-4.430990547675963
49,2495.233791234711,-1046.5367975440845,230.6623273458315
50,2894.0491077828574,-1404.2914603231707,36.686940128956884
51,2020.375345392425,-1628.7118807458414,10.374506833385347
52,2821.8495272810287,-2694.4412990969827,154.16028415872898
53,1796.4161874753536,-1626.4157957573448,28.31736552824956
54,2166.3544480423275,-2188.7680016370996,169.93239471833556
55,2882.5647634315374,-1622.600058626859,124.91203540972498
56,1970.2731872937622,-1253.9905549762589,143.15565559836838
57,1696.2450041116435,-2883.753604989685,221.98675258566556
58,1502.4821113030187,-2864.248235762867,11.707153966372449
59,1717.7085834700729,-2602.6975207176633,40.10662283168072
60,2593.113845029999,-2733.8042615458385,2.6637516072071605
61,1422.095242022739,-1085.8225977968395,234.7623433669749
62,2827.2603267766826,-1613.820417054309,8.824103161108187
63,1603.831016158428,-2781.4530088819156,238.37023556097176
64,2930.981382706163,-1167.789779250764,-5.641385432811813
65,1922.8443655615051,-1288.5026982255677,117.41682184722808
66,1379.34739861055,-1972.3241957380499,60.38677941529883
67,1403.5535939069148,-2994.308171707647,202.5759492694571
68,2707.224156632079,-1518.4456300090617,190.63134624528513
69,2663.2976482124313,-2256.279551255124,248.65464546415984
70,2310.7738554596012,-1746.994301131628,242.7787239768473
71,1674.2177398973274,-2243.628240776393,4.614842721635224
72,1081.6547450329936,-2049.9648923556865,235.8887071258525
73,1719.87315266017,-1366.5230495938906,228.29432761077777
74,2932.519857244338,-1082.6138231332968,238.67694162433241
75,1770.0520156436082,-2137.4355631427525,216.99189978217748
76,2028.9845521930156,-1449.952930918281,158.21259080789494
77,1792.946232727548,-1589.196280600598,202.86325050069166
78,2280.9988963906208,-2633.2561018664346,97.99142042127076
79,1686.8767370207856,-2165.7509232495518,39.56711824614772
80,2370.718874990491,-2451.2228964939823,25.736084971388173
81,1879.572703091822,-2389.5155828460547,112.4693111755891
82,1731.350757580714,-2189.5023418221454,161.40828343468752
