Point,X (m),Y (m),Z (m)
0,2812.4733084008803,-1295.5643549718181,147.34529106391744
1,1048.7341494417885,-1329.555638403773,170.4216978915359
2,2084.7145978915355,-2298.470923348629,161.95369542773912
3,1322.5263941881094,-1063.6172910096682,88.00863959001518
4,1553.1839819103025,-1660.0375575355092,227.4012917699248
5,2405.0546854908944,-1431.6850908626327,181.26694478739773
6,2252.138713543304,-1554.4897799449702,187.1441591838423
7,2992.3562132494353,-2196.2744387442635,177.31718901955236
8,1467.4566397414478,-1367.4087292521142,166.68819038150426
9,2433.842530169012,-2548.1151666525443,35.7542067878494
10,2471.1645304055173,-2443.496998124374,226.7223414130596
11,2782.2623643528814,-1943.2853334897047,47.61417806984175
12,2231.3591146863428,-1562.0763961139398,52.39198660338185
13,2669.8789989733928,-2485.583930086438,68.72132719891208
14,2900.7865502670415,-1341.8434169840607,73.18732370136134
15,2346.5258013640364,-2612.7578101249674,82.85588428738434
16,2209.1740069330654,-2179.800970254045,112.89544324791186
17,2649.7161201581994,-1550.9504097038812,220.03207266846348
18,1242.9342881326024,-1420.8786841556628,173.42328548998867
19,2507.1308184777645,-1722.7296397399568,194.8527537197215
20,2833.7177231877185,-1665.9677336260959,251.70621186307608
21,2740.027868193196,-1020.3309754273487,218.3681439537841
22,1860.179979159921,-2903.738757120019,29.083342232930278
23,2889.0602244818765,-1324.8720775222757,205.1752702015193
24,2642.84047725275,-2801.4507638147047,164.72878317623446
25,1398.396082629999,-1963.03583117762,148.86595885314284
26,1014.4667669523461,-2097.2300520127546,241.18953120888642
27,1871.926316286829,-1700.7991066813856,180.459055504835
28,2460.4342479778975,-2830.585792980474,170.1192785908404
29,2932.13057803093,-2998.7601637566686,208.9453366872146
30,1864.6097569201575,-1609.5726380042483,178.00788709687689
31,2401.5632062708755,-1049.9519955291416,242.0038106433434
32,2563.3338454534373,-1502.5473820256839,-7.154702889762246
33,1478.9629670060763,-1339.0969022323955,212.2333816601447
34,1919.3341364199396,-2148.943885654082,169.81749729265564
35,2313.9470669294205,-2842.8603838547688,170.00060757965497
36,1196.9467844341145,-2782.3215582430516,242.89141278405702
37,1752.6951208164303,-1222.1725338490066,75.30195863691392
38,1301.1755627731875,-2640.1425295916074,104.34801825970021
39,2222.3466938235324,-2240.11697974543,71.83281208548436
40,2476.185592321507,-1504.875802003757,80.3412325100457
41,1189.561862342354,-1869.0073877483135,142.554588047278
42,1584.3728604656335,-2077.941588103283,172.3147223668126
43,1071.6447114721827,-2712.5196739595103,115.5629191361457
44,1059.5874820350173,-2207.2732529325067,185.10640113408047
45,2064.2742816774844,-2428.74592380071,20.200966776983847
46,1491.3730834575135,-1973.1815502210918,12.098920672114282
47,1140.7175881948929,-1406.1922030350295,135.59308921164782
48,1821.7850482296149,-2552.8517603632836,118.66857496474412
49,2312.2582915850203,-2899.5869468731307,84.03254735727842
50,2486.967637189745,-2630.966884632077,46.439747604120804
51,2511.1256028265207,-2459.8613166026958,97.23526315862733
52,1402.7923248377076,-2370.1291641366493,163.28564594481725
53,1880.9370054082694,-2508.470544411224,120.88556485044529
54,1180.796817135217,-2515.9953028040277,83.12470232904205
55,2904.1910036573254,-1220.4424480832442,102.10315314992891
56,1677.3719955726528,-1670.4214620346577,94.27370158739562
57,2451.969123134093,-1275.7907107651763,140.94168998116865
58,1665.5920908393407,-1553.1304448886249,2.7540192215136514
59,1216.3466641970672,-2045.3278319121353,125.48269792646761
60,1698.5693986852295,-2692.5098108519865,-3.7880290849915568
61,2205.653905718228,-1265.3908357671876,51.95898280049546
62,2724.20632304874,-1879.8972943305323,88.32613621010614
63,2353.8149902156365,-2160.12715992743,251.52854388182107
64,2305.249897898755,-2845.1953483776956,9.399788503127503
65,2580.071174944804,-1780.6621920411899,22.411825955993628
66,1333.1911315616157,-2397.2627750298343,189.352924510093
67,2856.8234625108676,-1794.238352219594,213.49900782935472
68,2418.297301579054,-1766.3953787383903,239.72803083602057
69,1525.3272291615074,-2262.51704528578,227.1878058833905
70,1331.3917330058339,-1244.1287667576285,44.32185196686206
71,1565.8887072939563,-2159.7074237459656,138.15916100416567
72,1453.7946165304575,-1566.8814689229057,50.5329844229546
73,1648.4359424375284,-1129.6975964612716,228.47468676884245
74,1327.386772587942,-2775.289848339804,106.83509599288189
75,1990.1099196882585,-2047.7216779102364,149.5172357129159
76,1627.5593703812863,-1411.9497859175758,22.231019777737067
77,1594.1213048554218,-2340.3117784895035,0.0031180349679278407
78,1311.3968236423163,-1687.0305876444465,242.3311585885611
79,2844.6523652427722,-2195.2924494078543,122.05764040051179
80,1579.436318814578,-1163.0512159514371,215.65740213046084
81,2030.337996389275,-1147.215783361261,7.593782900144642
