Point,X (m),Y (m),Z (m)
0,2604.946395938639,-1804.0383066395325,155.93036037578423
1,2544.868014685233,-1780.8776153007586,88.25711154781236
2,2372.6499375465883,-2404.8369774711987,125.32022801187046
3,2735.5954856830667,-1105.8757933648042,214.53769925073917
4,1857.097533912151,-2142.653553042181,147.50779940086025
5,2396.9917015907295,-1574.9161567304045,250.88123653610882
6,2634.9733601715307,-1778.5657432070147,236.213351714914
7,2713.9930588062302,-2298.1949386999413,26.428561028228913
8,1185.8380110907108,-1043.9148208740116,120.67231859024889
9,1904.7171558589273,-2721.56347153671,216.60442572738575
10,2428.7034657023314,-2255.4400515447346,62.07274258160456
11,1873.500287955083,-2831.325248677255,30.24540122971677
12,2507.051998830376,-1874.695159260277,51.05840421064876
13,1075.8744537848136,-1251.8886534982043,109.41616728757565
14,2900.5221410111953,-1419.0840242514303,214.0747751760887
15,2336.4419546647086,-1312.301734973004,31.995529042195557
16,1002.046121559284,-1478.938493822269,-5.566361167845564
17,2904.045636397991,-1811.6137981566706,180.36134659097772
18,1232.26639587544,-2002.8591915952418,29.980290059158946
19,2691.304479877286,-2377.2851334741,232.09895343379708
20,2090.3087866366695,-1454.7406778564407,120.62558532446445
21,1389.4091396822362,-1683.5614808231012,178.68843556188986
22,2631.5172177350605,-2152.2241783748013,120.98463701454543
23,1162.4039652688116,-1448.8790769258815,50.54570953675034
24,1093.909698456851,-2602.8628106857673,163.95491433083822
25,1836.3329264315778,-2715.464909628526,70.44256173092647
26,2756.424852924251,-1310.3376656863413,121.83710718652927
27,2523.669457294921,-2274.875677163961,-0.7312738165955324
28,2609.00633748837,-1611.2016471294628,20.85496880813328
29,1342.8275590961935,-2616.6240725182683,159.00070282928476
30,1849.0771316800897,-2956.608091716339,174.56525344789605
31,2587.867750966941,-1157.7426850616862,41.052087987157826
32,2699.279688190596,-2720.3719170779395,41.47841018923086
33,2033.7669167457166,-2711.1315084371595,201.01485574858114
34,2624.3977743022156,-2454.538695600065,118.94616653644539
35,1980.8939378859884,-1263.9861524148525,35.42921904068822
36,1252.079596075095,-2060.03416855613,88.622291266548
37,1052.2018824025727,-2098.9164005054463,51.52559476370821
38,1990.172173965798,-1946.9210600085528,226.2173879389325
39,1133.9173697213578,-1118.5271598642814,81.04259698408836
40,1973.4105495712054,-2430.2116660524844,229.4310665106573
41,2916.293172428037,-2601.5105152840088,0.39162425036170134
42,2247.5199838365465,-2076.253426247802,126.16547752707567
43,2740.7318676538566,-2199.3323419151966,148.63818154349468
44,2348.0457187798656,-1401.880468903256,97.36347644517869
45,2861.629694071955,-2801.2387415705316,22.053574048495463
46,1994.255447663884,-1006.085521506764,78.49188748653634
47,1668.0187739588425,-2643.206802033512,70.23978979750626
48,1093.9021753069765,-2764.3869197609342,39.357439440948546
49,2002.4476614118114,-2732.956691731349,29.321378932587358
50,2056.093655389447,-2199.9905930039567,37.12035126534294
51,2450.4650648062566,-2593.6790461088017,187.65962328648303
52,2573.8661180368035,-2988.979026447726,151.22613255260717
53,2610.109040510178,-2974.9313556780567,178.48300965606836
54,2670.9103697060136,-2543.7684584340177,206.31784072301264
55,2797.159515706036,-1663.901733375562,161.83162949875418
56,2871.681166155348,-1346.2332506982223,175.52331392791598
57,2497.6165250269887,-1371.3993307545302,153.95938547904458
58,1964.080096058124,-2129.8256732048194,122.23092135323557
59,1158.4033815919065,-1819.817797134058,74.6015216394207
60,2542.6548028807792,-1116.954510225391,4.461280530039694
61,1753.39794137872,-2410.0171363916897,142.71238976750277
62,1444.3965967899346,-1517.5483709933862,252.32898824103836
63,1249.6405743901782,-2958.5654506902133,147.31418021757173
64,2670.4679531709944,-2649.6372154305814,3.464406918029649
65,1307.7691284557673,-1557.3730508799415,38.37473252743036
66,2852.3428874165393,-1319.5165694916814,202.09947203818308
67,1354.1121705666822,-2203.841987350514,110.30243262936872
68,2286.7803616777373,-1113.249653553638,-0.1332125869361409
69,1436.6183926052581,-1072.6591620479257,57.72984879355994
70,1915.8735378334163,-2939.8773435452713,121.05448520211289
71,2000.9391945169787,-2189.3904459548157,165.39637596218523
72,1915.1353683476184,-1448.0693841133354,9.206084215383619
73,2171.7383890759274,-2645.635191685489,-11.821027459465842
74,1175.9749903162633,-1327.84279355321,10.230845795724203
75,2009.0423888564542,-1840.3011276423006,58.70650179486624
76,1192.7788550056828,-2367.5425242000283,24.481317233174522
77,2370.7166888957167,-1571.923361429271,93.80001047289241
78,1810.9239758557771,-1155.111173388394,228.92282133105832
79,1888.436634505628,-1951.334083929334,156.79523732318074
80,2744.0936409948204,-2296.413644692527,218.4192573343069
81,1524.3153705443592,-1609.0412520248399,128.07673413695045
82,1892.9343903189128,-1343.5440074194714,106.68312552741763
83,1905.0805718032975,-2796.487360518374,183.57569502160788
84,1490.4091413492515,-2549.857657926561,220.15701746133323
85,1298.9789527006224,-1401.7975893638468,212.79554007997353
86,2873.4446171917634,-1931.409746915398,101.31512563550744
87,2232.732793954762,-2629.6175283250823,194.57346907824336
88,1830.1515077075126,-1515.516274076192,121.24372094369502
89,1567.5016259662084,-1805.5533334741142,149.33972607927623
90,2036.7868661039113,-2142.591186795964,106.58648376458628
91,1023.3547485034118,-1940.3259882693822,206.04654101052574
92,2916.9985850667217,-1331.30641503042,44.85165092739671
93,2493.0399776770573,-2317.6781668726812,128.73695962372392
94,1404.604571069702,-2883.1439788097537,251.83956971537918
95,1442.3336677947952,-2157.93051987357,133.99452258453334
96,2063.0260294007626,-1890.1664512013526,109.08540119176669
97,1113.3942001171113,-2970.748174293539,50.514784647975674
98,1710.13402728129,-1775.7867979734604,72.85817756208093
99,2414.08592012241,-2273.0980054409833,220.67641283021513
100,2032.1840220012436,-2539.968274527627,35.786549844753786
101,2420.2729595456117,-1019.7511398504023,207.00334067502385
102,2767.4193325221286,-2211.3155714928616,199.1372415532672
103,2322.8900087055426,-1475.302560795051,120.82572953344561
104,1707.9100738250263,-2416.1804893853073,47.60292258503036
105,1513.4893784211586,-1823.4278406056626,105.12100020431598
106,2176.8401883487036,-2193.554783205366,24.895316691282275
107,2463.3455805525005,-2569.3464596964095,109.03252734797842
108,2059.886524222329,-1268.333547837037,259.27466544928654
109,2663.090616715378,-2955.9982444720263,157.71939488224783
