Point,X (m),Y (m),Z (m)
0,2281.7992847427695,-2677.1508902901,192.2205956283686
1,2694.587530639722,-2834.2506821766656,127.49342244154852
2,2274.715245366291,-2081.592672833021,81.97660809601766
3,2317.3797690258552,-1872.4680629133995,222.43127418396148
4,1819.3294914064895,-2511.426407010268,227.08408984083974
5,1873.7920821720782,-1533.124159795135,258.46800648572355
6,2095.156443907832,-2844.3512547447003,186.7320877824357
7,1059.950673229408,-1711.352232294096,37.055599440862856
8,2491.5971070872884,-1101.8042009925566,82.22457955703638
9,1203.4068883372968,-1937.6253993063422,86.31033816083426
10,2583.398794417254,-1808.4250326279953,23.15898681195212
11,1053.1131524428802,-2764.664692537439,173.03585474818908
12,2656.327946785038,-1573.4324618565124,181.66861703339313
13,2196.92155358117,-1536.3160262220645,29.893210881686223
14,1931.3286066260648,-2676.174404186727,191.6898035909809
15,1773.5902206828466,-1762.7337696881493,108.52817656365772
16,2341.4606433134377,-1658.3158298198387,7.551757880812776
17,2986.3770368635423,-2033.6544465418724,84.9907587703666
18,2758.37740789729,-2891.0299952296887,254.06071947003073
19,1365.9048336800806,-1830.4813608283828,6.047466952481113
20,1245.7574402660932,-2243.711869443295,205.09014893442753
21,1236.8162363793037,-2967.449754436958,233.58663785498644
22,1161.2537137466177,-2828.5100928551883,240.66514535134752
23,1702.4319196177173,-1157.5750638838456,250.63449414904971
24,2121.8222770154157,-1286.2084917049551,93.81006941670407
25,2911.4136588146584,-2146.4961106562205,75.42283099313669
26,2735.128211565988,-1079.2126989984129,62.28539856609669
27,2413.014266804967,-1035.1886210814464,24.425533955490273
28,1099.2493681801543,-2146.9386172521795,33.726344763430326
29,1261.539611802418,-2640.8809818407685,194.6695570688015
30,2992.5561346808036,-1435.655289255891,233.7402130731243
31,2473.500541509876,-2388.314116955494,233.90384277229805
32,2173.4747698974734,-1081.0251600052782,-2.4408049265046365
33,2663.4510337905745,-1262.6317275309518,253.2587360562543
34,2919.234761871322,-1214.4205292452111,43.15233700917383
35,2506.752619320516,-1344.7892687508947,28.46897715438753
36,1081.0314010456,-2620.888947517503,250.13542335034543
37,2544.811190138214,-1323.2899374853966,187.99793806003078
38,1637.1632137968866,-2028.5278045976936,45.43913790409989
39,1959.1286092479409,-2694.9631530299366,251.2779963198622
40,2359.9630064078447,-1890.539773597912,157.82728041671072
41,1521.4386526815301,-1817.5328568224118,0.5009386848394719
42,1928.8819618529576,-2531.1215142946066,173.65402531166345
43,1580.6257627908076,-2634.123380545071,234.93787023854682
44,2200.947312427142,-1702.2471553429998,68.6815032879832
45,2837.646203954063,-1941.4516583102456,213.74485772381834
46,1185.6471436680156,-2906.585238098761,29.177442931117966
47,1453.31416098545,-2535.778267412553,164.29954747576625
48,1540.76007650261,-1231.2871040541074,170.05859507935028
49,2329.5172635188114,-1366.875766344052,49.56930264070283
50,1641.527236912027,-1916.5260655408017,-12.963809965098289
51,2447.550410679187,-2253.074542282616,73.09400682646088
52,1498.4046949084263,-2783.1558415947216,102.55184117251534
53,2245.9147556824682,-1514.7713296536033,220.30603742181316
54,2224.1188698132073,-2558.183791030153,43.50221591704942
55,2796.6868230036134,-1680.3625033860942,204.14628637102268
56,1329.205950781778,-2374.3151659067707,97.58170970416249
57,1955.8853971801218,-1989.9651063106678,152.02975352554438
58,1145.9000088669204,-2957.132158427366,194.83215084987867
59,1902.9858292191548,-2846.684263384981,32.82994459784861
60,2602.1786485653965,-2708.905471704448,132.11000800727714
61,2082.5564443511767,-2695.430433157228,7.91729516600331
62,2151.5557408443638,-2945.058379977133,208.9281973942867
63,1663.1647727882073,-1383.0151138613994,165.2235890844165
64,1154.0549488256145,-1241.8494992174794,27.00838440252413
65,1079.6886564994202,-2512.481556314247,194.97881095840475
66,2272.783755492485,-1842.663047884325,214.80965645839223
67,1453.8092224561935,-1178.6901136204488,258.9016373300355
68,2745.583721444652,-1509.872928240898,41.07428907610988
69,1443.4529120768198,-2201.5952197062284,64.30712250725742
70,1494.7463535162242,-1667.0354891228171,63.05586362242887
71,1241.4355130934885,-1662.8051289267203,29.92093859098307
72,2095.5686293627314,-2216.736423073531,206.77901812502833
73,1892.5907319881321,-2522.1059095104292,129.32624767835077
74,1397.5503529261932,-1202.3863322100553,135.19817197437732
75,2476.517440140116,-2578.6750019934225,-0.7143821158661243
76,2063.134764262504,-2546.345282510509,-5.604607876081403
77,1451.4298902119174,-1203.0514373114693,9.872766926291021
78,1799.575866971755,-2000.0118981382539,217.41700929114413
79,2700.4670948715375,-2747.5196491519764,148.76733700983505
80,2984.795320153925,-1760.0828190239406,162.20191895530644
81,2405.084857759927,-1340.202549381836,128.9913933901456
82,2379.0984146369974,-2648.255642020861,32.26812454998708
83,2365.6810595978045,-2593.6764230786757,193.93496600043997
84,1866.6751706286411,-1189.3567373522303,37.09571165018881
85,2294.2928832950292,-2394.015817896604,31.83834547372888
86,1898.9262336700167,-1287.296880174578,193.79887593433378
87,2529.018869414531,-1518.2800765428121,167.89404003242163
88,2832.050309031829,-2073.1498451195475,203.8956844080413
89,2942.190917019597,-1259.8468540329982,182.34138446287056
90,1548.9473050379352,-1850.0268586940983,88.48189469330826
91,1910.7487508723439,-2674.405698341668,-12.855082435653356
92,2550.3667931634855,-1699.5133595355508,1.5254233195053644
93,1001.8841003829646,-1599.0617203882882,128.24244982830433
94,2639.737838012195,-2961.5387286561504,242.10037028800974
95,1591.333901204818,-2968.755420641917,121.66720141603577
96,2788.156385480256,-1650.5766805586093,100.38091184065014
97,1822.3865945851435,-2679.189355002189,167.6948428693475
98,2759.4632155719505,-1978.288670926297,9.22491147740823
99,2503.7967371521277,-1438.555172372803,53.53323081328428
100,2013.1292393948015,-1486.0875987801796,145.17335247243525
101,2866.381615733728,-1525.3847521533712,3.3384072663879607
102,2940.9921643533235,-2740.3346569346313,103.36163477448518
103,1409.9687722061508,-2809.1039316427477,6.9231975958795005
104,2017.5500318927916,-2840.0963710711467,59.0568871256466
105,2592.6481259913553,-1618.6368320700753,71.11889933995337
106,2910.9335025750493,-2411.766988754536,241.33819934679764
107,2269.447406103698,-2788.3831283714944,94.42808018262934
108,2262.7419134737834,-2943.462741735038,-1.127746126548013
109,2114.546921144043,-1312.6321447597106,143.483301774187
110,2567.762952918988,-1103.1815279147706,1.83690935208449
111,2413.6307848516744,-1427.700629451597,119.73266367020119
112,1705.9350253650496,-1232.610313010653,228.41653716603173
113,1847.679855935578,-1326.441126119462,83.73143590529313
114,1693.6191033813816,-2707.9904315070635,217.87119332809297
115,2450.0265391173625,-2707.6396867874205,219.99701827342872
116,1469.6199248522069,-2020.6568726808975,19.520966759336453
117,1629.700656418669,-2896.283434897464,243.56173267953642
118,2135.454308031912,-2354.7488267002395,161.83076745317814
119,2562.8430823062035,-1689.7107003281308,-9.992558366718331
120,2287.6551931682316,-2024.5974680297472,-1.8711205596013674
121,2006.9460829020525,-2184.2515830754596,188.8440881771406
122,1250.2307026279896,-2262.1989858255083,194.2123395137535
123,2637.4952640782603,-1338.6159327141474,65.75998483700404
124,2399.7040735937408,-1380.027873646332,45.70877005560604
125,1058.237380377798,-2268.0082676370557,176.72286751183466
126,2839.007933530713,-1775.714368042422,49.69144423774789
127,1645.7823652693146,-2734.049044773257,116.01894425884461
128,2196.889890123556,-2855.9357365836013,57.900489015706526
129,1501.9242270574036,-1939.5474202060495,257.7167253884919
130,2750.1809176792594,-1444.521340202788,242.22646571821514
131,1578.1922554945086,-1444.893245218373,94.85767841068304
132,2761.4162961497814,-1755.8829100122973,84.24315271059177
133,2837.1490336046663,-2325.284423910513,57.041628946853706
134,2979.0081144901733,-2022.0791839619178,43.81959978351413
135,2332.1054340830833,-2926.7629127453506,-4.578836717659701
136,2201.616114524707,-1512.2101551268338,230.5795004748244
137,2896.7433994254548,-1580.6840115699579,118.56945629671313
138,1565.154114057843,-1716.4169692034864,159.8262561799011
139,1334.380521951934,-1828.3082586362932,245.02043017428406
140,1997.996373932682,-1980.3872487532624,131.707167152949
141,1559.345804221767,-1149.9751065058558,77.11452202762888
142,1423.4230271957974,-2486.21884748492,104.03357875208248
143,1211.3847801484617,-2080.6158971540754,5.3869585792406305
144,2322.8076219126233,-1311.2976266163332,134.52939456424951
145,2550.1701576005835,-1631.1620675468116,120.19611767302663
146,1283.1312465278543,-2309.585056389553,41.679786263848584
147,2687.3194990550737,-1273.0422608038366,249.06801986698127
148,1263.1128430249091,-2666.3665784624013,-7.334101637252286
149,1809.1993498939414,-1652.0858099561701,78.90382210842647
150,1038.842428186263,-2289.5026624626203,61.60548180159539
151,1788.978101518801,-2882.716924491131,83.61317636628057
152,1280.1678088624976,-1585.2056251047434,175.25638098773697
153,2360.440158763474,-2692.544544310281,193.35853825211058
154,1071.0974362785203,-2621.6693902623606,235.24313659642556
155,2889.027193207235,-2756.676222936823,98.2678663000782
156,1715.9679845420192,-1062.260180951085,183.44059339034487
157,2783.0737677502057,-2070.538736598219,42.036999696160464
158,1411.9681413181027,-1595.8642995663927,92.36454527640436
159,2873.7544381389343,-2935.1858677606547,44.829611962819875
